CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
05073000;La Garonne en aval de Bordeaux;;420528;6433930;26;RGF93 / Lambert 93;33434;Saint-Louis-de-Montferrand;33;Gironde;75;Nouvelle-Aquitaine;FT34;FRFT34;Estuaire Fluvial Garonne Aval;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9770000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2016-03-16;;Cale de la Jourdanne en aval de Bordeaux;M;Station de mesure Manuelle;3;;;;
05075000;La Garonne au Tourne;;430787;6406360;26;RGF93 / Lambert 93;33334;Portets;33;Gironde;75;Nouvelle-Aquitaine;FT33;FRFT33;Estuaire Fluvial Garonne Amont;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9630000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-05-25;;Pont de Le Tourne de la D115;M;Station de mesure Manuelle;3;;;;
05076000;La Garonne à Cadillac;;436333;6398460;26;RGF93 / Lambert 93;33120;Cérons;33;Gironde;75;Nouvelle-Aquitaine;FT33;FRFT33;Estuaire Fluvial Garonne Amont;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9600000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2016-03-16;;Pont de la D11 à Cadillac;M;Station de mesure Manuelle;4;;;;
05080885;La Garonne au niveau de La Réole;;459083;6391240;26;RGF93 / Lambert 93;33352;La Réole;33;Gironde;75;Nouvelle-Aquitaine;FR301A;FRFR301A;La Garonne du confluent du Trec à  la confluence du Dropt;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9190000;O---0000;;2;Station qualité située sur un cours d'eau;;2017-05-23;;2017-07-26;Bilan;Quais de la Réole;M;Station de mesure Manuelle;8;;;;
05080890;La Garonne à Bourdelles;;461448;6388210;26;RGF93 / Lambert 93;33066;Bourdelles;33;Gironde;75;Nouvelle-Aquitaine;FR301A;FRFR301A;La Garonne du confluent du Trec à  la confluence du Dropt;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9190000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-04-27;;2021-03-01;Evaluation;Bourdelles aval confluence avec le Lisos;M;Station de mesure Manuelle;15;;;;
05083580;La Garonne au Mas d'Agenais;;478904;6371920;26;RGF93 / Lambert 93;47159;Le Mas-d'Agenais;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR301B;FRFR301B;La Garonne du confluent du Lot au confluent du Trec de la Greffière;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O9060000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2018-04-11;;Pont de la D6 au Mas d'Agenais;M;Station de mesure Manuelle;18;;;;
05104000;La Garonne en amont du Lot;;486212;6358050;26;RGF93 / Lambert 93;47004;Aiguillon;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;FRFR300A;La Garonne du confluent du Gers au confluent du Lot;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6930000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2019-10-11;;Pont de la N642 à St-Léger en amont du Lot;M;Station de mesure Manuelle;23;;;;
05111500;La Garonne à Port Ste-Marie;;491863;6353390;26;RGF93 / Lambert 93;47210;Port-Sainte-Marie;47;Lot-et-Garonne;75;Nouvelle-Aquitaine;FR300A;FRFR300A;La Garonne du confluent du Gers au confluent du Lot;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O6450000;O---0000;;2;Station qualité située sur un cours d'eau;;1993-01-01;;2018-04-13;;Pont de la D213 à Port Ste-Marie;M;Station de mesure Manuelle;28;;;;
05152000;La Garonne à St-Aignan;;546032;6326710;26;RGF93 / Lambert 93;82033;Castelsarrasin;82;Tarn-et-Garonne;76;Occitanie;FR296A;FRFR296A;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2900000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-20;Evaluation;Pont de la D12 à St-Aignan;M;Station de mesure Manuelle;69;;;;
05156700;La Garonne à Ondes;;563702;6299090;26;RGF93 / Lambert 93;31403;Ondes;31;Haute-Garonne;76;Occitanie;FR296A;FRFR296A;La Garonne du confluent de l'Aussonnelle au confluent du Tarn;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2370000;O---0000;;2;Station qualité située sur un cours d'eau;;1986-01-01;;2001-07-20;;Pont d'Ondes;M;Station de mesure Manuelle;106;;;;
05161900;La Garonne à Blagnac;;570912;6281960;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;FRFR296B;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2090000;O---0000;;2;Station qualité située sur un cours d'eau;;1972-01-01;;2001-07-20;;Pont de la D1 à Blagnac;M;Station de mesure Manuelle;123;;;;
05163000;La Garonne dans Toulouse (St-Pierre);;573655;6279350;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;FRFR296B;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2000000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2001-07-20;;Pont St-Pierre dans Toulouse;M;Station de mesure Manuelle;132;;;;
05163290;La Garonne à l'entrée dans Toulouse;;573697;6276060;26;RGF93 / Lambert 93;31555;Toulouse;31;Haute-Garonne;76;Occitanie;FR296B;FRFR296B;La Garonne du confluent de l'Ariège au confluent de l'Aussonnelle;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O2000000;O---0000;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2018-04-20;;Pont de la Poudrerie sur le bras supérieur;M;Station de mesure Manuelle;137;;;;
05174000;La Garonne en amont de l'Ariège;;569591;6269450;26;RGF93 / Lambert 93;31433;Portet-sur-Garonne;31;Haute-Garonne;76;Occitanie;FR252A;FRFR252A;La Garonne du confluent de l'Arize au confluent de l'Ariège;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0980000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2021-01-07;;Pont de la N20 à Pinsaguel;M;Station de mesure Manuelle;143;;;;
05176200;La Garonne à Carbonne;;555199;6245070;26;RGF93 / Lambert 93;31107;Carbonne;31;Haute-Garonne;76;Occitanie;FR252B;FRFR252B;La Garonne du confluent du Salat au confluent de l'Arize;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0660000;O---0000;;2;Station qualité située sur un cours d'eau;;2015-04-27;;2018-05-02;Evaluation;Pont de la D 627 en amont de Carbonne;M;Station de mesure Manuelle;194;;;;
05177600;La Garonne à Boussens (Pont de la déviation de la N117);;535167;6232600;26;RGF93 / Lambert 93;31457;Roquefort-sur-Garonne;31;Haute-Garonne;76;Occitanie;FR252B;FRFR252B;La Garonne du confluent du Salat au confluent de l'Arize;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0600000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2019-06-26;Impact d'un rejet industriel;Au niveau de la passerelle à Boussens;M;Station de mesure Manuelle;266;;;;
05181800;La Garonne à Valentine;;513145;6224760;26;RGF93 / Lambert 93;31483;Saint-Gaudens;31;Haute-Garonne;76;Occitanie;FR251;FRFR251;La Garonne du confluent de la Neste au confluent du Salat;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;;O---0000;;2;Station qualité située sur un cours d'eau;;1972-01-01;;2020-02-28;;Pont de la D8 à Valentine;M;Station de mesure Manuelle;363;;;;
05181801;La Garonne à Miramont de Comminges;;515712;6224000;26;RGF93 / Lambert 93;31344;Miramont-de-Comminges;31;Haute-Garonne;76;Occitanie;FR251;FRFR251;La Garonne du confluent de la Neste au confluent du Salat;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0210000;O---0000;;2;Station qualité située sur un cours d'eau;;2016-11-17;;2016-11-17;Autre;Chapelle Notre Dame du Calvaire;M;Station de mesure Manuelle;358;;;;
05183848;La Garonne à Loures-Barousse;;505095;6217240;26;RGF93 / Lambert 93;65287;Loures-Barousse;65;Hautes-Pyrénées;76;Occitanie;FR178;FRFR178;La Garonne du confluent du rieu argellé (inclus) au confluent de la Neste;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0090000;O---0000;;2;Station qualité située sur un cours d'eau;;2016-01-01;;2015-03-11;Evaluation;En amont du pont de la D33d;M;Station de mesure Manuelle;440;;;;
05183900;La Garonne en aval de la Pique;;507823;6207280;26;RGF93 / Lambert 93;31139;Chaum;31;Haute-Garonne;76;Occitanie;FR178;FRFR178;La Garonne du confluent du rieu argellé (inclus) au confluent de la Neste;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0050000;O---0000;;2;Station qualité située sur un cours d'eau;;1975-01-01;;2018-04-20;;Pont de la N125 à Chaum;M;Station de mesure Manuelle;479;;;;
05184000;La Garonne au Pont du Roi;;514760;6197080;26;RGF93 / Lambert 93;31190;Fos;31;Haute-Garonne;76;Occitanie;FR178;FRFR178;La Garonne du confluent du rieu argellé (inclus) au confluent de la Neste;FRF_GARO;Garonne;F;FRF;La Garonne, l'Adour, la Dordogne, la Charente et les cours d'eau côtiers charentais et aquitains;O0010000;O---0000;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2018-04-20;Evaluation;Pont de la N618C au Pont du Roi;M;Station de mesure Manuelle;578;;;;
